80
900.573 -2165.42 152.125,1 2,stand,18.8361 -86.2811 0,,
916.925 -2432.28 152.125,0 2 3,stand,20.6927 5.20752 0,,
1088.41 -2394.74 152.125,1 0 3 21 4,stand,32.2559 122.607 0,,
1192.45 -2448.35 152.125,2 4 1 18,stand,13.2715 54.1516 0,,
1290 -2361.5 152.125,3 5 14 2,stand,9.48669 2.69715 0,,
1395.05 -2356.91 200.125,4 6 7,stand,9.91516 -2.15881 0,,
1693.58 -2298.13 200.125,5 7 10 79 78 12,stand,27.8284 -156.259 0,,
1687.53 -2400.88 200.125,6 8 79 78 5,climb,-65.083 -89.3848 0,,
1682.39 -2438.09 338.125,7 9,climb,70.5157 89.3353 0,,
1412.51 -2488.88 336.125,8,stand,1.21948 25.8893 0,,
1659.26 -2176.43 152.125,6 11 12 13 78,stand,39.4739 122.465 0,,
1559.15 -2063.96 152.125,10 12,stand,20.918 -11.3654 0,,
1752.03 -2096.71 152.125,11 10 78 6,stand,27.2681 -179.011 0,,
1322.46 -2220.05 152.125,10 14 16 18,stand,17.9901 3.42224 0,,
1207.13 -2302.67 153.077,13 15 18 4,climb,-81.6449 -178.781 0,,
1177.66 -2303.71 584.125,14 63,climb,78.0798 -1.35132 0,,
1140.38 -2056.46 152.125,13 17 20 21,stand,21.3354 37.2437 0,,
1425.11 -1842.08 152.125,16 18 19 27 40,stand,19.9072 -109.638 0,,
1371.99 -2003.99 152.125,17 13 14 3 27,stand,26.2628 -124.184 0,,
1309 -1768.61 152.125,17 20 26,stand,24.906 -155.083 0,,
1100.74 -1869.32 152.125,19 16 23,stand,12.3431 -20.127 0,,
929.932 -2006.25 152.125,16 2 22,stand,34.9695 42.2534 0,,
935.55 -1689.32 152.125,21 23 74 32,stand,14.4196 41.3361 0,,
1085.99 -1631.72 152.125,22 20 24 32,stand,18.9844 -16.3312 0,,
1081.67 -1465.19 152.125,23 25 74,stand,21.0553 21.1432 0,,
1286.06 -1296.31 152.125,24 26 46 49 54,stand,21.7694 -100.898 0,,
1318.84 -1465.23 149.125,25 19,stand,32.1185 95.1636 0,,
1776.14 -1828.84 152.125,17 28 18,stand,6.28418 34.986 0,,
1880 -1755.47 200.125,27 29,stand,-13.7 83.161 0,,
1864.2 -1414.47 344.125,28 30,stand,11.2775 156.028 0,,
1739.7 -1381.74 343.602,29 31,stand,32.2614 -7.90466 0,,
1726.81 -1125.18 343.625,30,stand,84.9957 108.572 0,,
1145.57 -1521.1 127.125,23 33 74 22,stand,24.6204 -92.406 0,,
1187.98 -1603.51 96.125,32 34,climb,-81.5021 0.302126 0,,
1217.38 -1600.57 302.125,33 35,climb,72.0813 177.171 0,,
1296.7 -1600.85 290.125,34 36,stand,44.5331 153.605 0,,
1319.9 -1508.47 290.125,35 37,stand,50.0317 0.516359 0,,
1404.07 -1508.81 302.125,36 38,climb,63.5889 -1.26892 0,,
1431.13 -1508.21 96.1251,37 39,climb,-83.5016 179.467 0,,
1518.76 -1481.53 152.125,38 40 44 75,stand,60.0183 -164.333 0,,
1546.21 -1593.14 152.125,39 17 41 75,stand,24.906 -114.659 0,,
1694.37 -1469.89 152.125,40 42 46 75,stand,27.1198 88.385 0,,
1694.19 -1087.5 152.125,41 43 44,stand,23.9063 -141.795 0,,
1430.91 -1063.74 152.125,42 44 48 65,stand,19.6271 -5.75134 0,,
1537.41 -1212.74 152.125,43 39 45 42,stand,39.0399 -89.61 0,,
1460.47 -1307.54 152.125,44 46 47,stand,30.6903 -178.533 0,,
1378.35 -1352.67 152.125,45 25 41 49,stand,73.5095 131.364 0,,
1251.35 -1063.13 152.125,45 48 54,stand,30.2618 -10.6018 0,,
1356.8 -988.343 152.125,47 43 55 59 65,stand,56.3104 -104.167 0,,
875.844 -1296.3 152.125,25 50 54 46,stand,15.3424 -170.695 0,,
735.496 -1338.38 192.125,49 51,stand,28.8336 -4.82849 0,,
759.261 -1705.17 344.125,50 52,stand,18.6273 2.7356 0,,
886.994 -1730.16 343.625,51 53,stand,26.2628 -85.4791 0,,
901.809 -1995.86 344.125,52,stand,58.9526 -108.386 0,,
1109.84 -1144.77 152.125,25 47 49,stand,23.6206 25.3015 0,,
1535.51 -735.155 152.125,48 56 58 57 59,stand,21.1981 -101.821 0,,
1741.09 -949.013 152.125,55 58 57,stand,25.2631 -177.116 0,,
1579.34 -946.125 152.125,58 56 55,stand,17.9846 69.7632 0,,
1719.15 -685.173 152.125,57 55 56,stand,9.84924 -156.703 0,,
1390.93 -806.542 152.125,55 60 48,stand,27.0483 100.239 0,,
1412.56 -684.913 152.125,59 61 64,climb,-83.0731 -2.74658 0,,
1444.55 -688.13 584.125,60 62,climb,74.9323 -179.171 0,,
1455.85 -1046.21 574.125,61,stand,60.4468 86.9073 0,,
1166.96 -2057.13 576.125,15,stand,23.9777 75.1904 0,,
1250.86 -693.042 200.125,60 69 70,stand,10.0635 -151.848 0,,
1081.02 -911.43 152.125,48 66 67 68 43,stand,17.6276 -152.276 0,,
878.764 -1029.58 152.125,65 67 68 76,stand,18.1274 5.37781 0,,
1044.71 -1041.03 152.125,66 68 65,stand,7.99255 127.634 0,,
960.865 -927.064 152.125,67 69 66 65 76,stand,10.7062 99.9426 0,,
957.895 -827.904 200.125,68 64 70 76 77,stand,36.8976 -121.871 0,,
940.91 -719.126 200.125,69 71 64 77,climb,-63.7317 90.011 0,,
940.84 -688.446 342.125,70 72,climb,73.2239 -88.2697 0,,
1117.4 -631.125 336.125,71 73,stand,24.4775 -158.994 0,,
1200.59 -635.841 335.625,72,stand,30.6903 -169.272 0,,
928.239 -1475.38 152.125,22 24 32,stand,36.1121 0.296633 0,,
1693.28 -1671.62 152.125,41 40 39,stand,51.9543 164.965 0,,
863.125 -866.923 160.125,66 77 69 68,stand,21.6266 79.4641 0,,
863.125 -740.791 160.125,76 70 69,stand,15.4138 -69.7687 0,,
1760.87 -2262.04 160.125,10 12 79 6 7,stand,32.9755 134.802 0,,
1760.87 -2424.76 160.125,78 7 6,stand,25.2631 95.7623 0,,
